SMILES,TITLE,receptor,Chemgauss4
c1c[nH]c2c1c(ncn2)[N@@]3CCC[C@H](C3)NC(=O)CC4(CCCC4)O,SIM-201796-ENA,Not Available,-12.119377
C[N@@H+]1CC[C@@H]([C@@H]1c2cccc(c2)Cl)CNC(=O)c3ccc4cnccc4c3,SIM-465355-ENA,Not Available,-12.107245
c1cc(cnc1)Cn2cc(nn2)C(=O)Nc3cc(ccc3F)c4nnc5n4CCCCC5,SIM-116244-E15,Not Available,-12.106362
C1CCC(C1)C[C@@H](/C=C/[C@H]2[C@@H](C[C@H]3[C@@H]2CC(=C3)CCCCC[NH+]4CCOCC4)O)O,T2K-424740,Not Available,-12.100700
Cc1ccc(cc1C)c2cc([nH]n2)C(=O)NCC(=O)Nc3c[nH]nc3,SIM-300479-E15,Not Available,-12.100179
c1ccc2c(c1)C(=O)N(C2=O)CCCCSc3c4c5c(sc4ncn3)CCC5,EDB=235645,Not Available,-12.098730
CC(C)C[C@H](C(=O)[O-])Nc1c2c3ccccc3[nH]c2ncn1,T2K-55676,Not Available,-12.091006
c1ccc2c(c1)[nH]c(n2)CNC(=O)c3ccn4c(c3)nnn4,T2K-209257,Not Available,-12.073582
c1ccc2c(c1)cccc2CCNC(=O)c3cc(c(=O)[nH]c3)Cl,EDB=108005,Not Available,-12.071891
C[N@@H+](Cc1cccc2c1ccnc2)Cc3nc(no3)c4ccc(cc4)C(F)(F)F,DUD=72670,Not Available,-12.060181
Cc1cc2c(cc1C)nc([nH]2)CCCCSc3c4c([nH]cn4)ncn3,SIM-152454-SAV,Not Available,-12.054148
c1c[nH]c2c1cc(cn2)C[C@H]3CC[N@H+](C3)Cc4[nH]ccn4,T2K-516662,Not Available,-12.050371
CN(CC(=O)NCCc1cccc(c1)OC)c2c3c([nH]cn3)ncn2,SIM-152814-MOS,Not Available,-12.042687
CCC(=O)c1cc(cc(c1O)n2nc3ccccc3n2)C(C)(C)c4ccccc4,T2K-394556,Not Available,-12.034563
CCCCn1c(c(c(=O)[nH]c1=O)N(C)C(=O)CCCn2c3ccccc3oc2=O)N,EDB=83536,Not Available,-12.025866
c1cc(c2cn[nH]c2c1)C(=O)N3CC[C@H](C3)NC(=O)c4cc(on4)Cl,SIM-486010-E15,Not Available,-12.023371
c1cc(ccc1CNc2c3cn[nH]c3ncn2)N4CCCC4=O,SIM-58331-MOS,Not Available,-12.022343
c1c[nH]c2c1c(ncn2)C(=O)N[C@H]3[C@@H](CCC34CCC4)C[NH3+],SIM-351279-E15,Not Available,-12.005377
Cc1ccc(nc1)NC(=O)[C@@H]2CCC[N@](C2)c3c4cc[nH]c4ncn3,SIM-263677-ZIN,Not Available,-11.997993
Cc1ccc(nc1)NC(=O)[C@@H]2CCC[N@](C2)c3c4cc[nH]c4ncn3,SIM-263773-EMO,Not Available,-11.997993
Cc1ccc(cc1)NC(=O)CSCC(=O)Nc2c3c([nH]cn3)ncn2,SIM-84354-E15,Not Available,-11.991116
C[C@@H]1C[C@H](CN(C1)c2c3c4ccccc4[nH]c3ncn2)C(=O)[O-],T2K-54125,Not Available,-11.990963
c1cc(cc(c1)NC(=O)C[C@H]2CC[C@@H]3C[NH2+]CC[C@@H]3C2)c4nnc5n4CCC5,SIM-116258-E15,Not Available,-11.982443
c1ccc(cc1)[C@H]2C[C@@H]2NC(=O)c3ccc(=O)[nH]c3,SIM-78912-MOS,Not Available,-11.974463
CCCCn1c(c(c(=O)[nH]c1=O)N(CC)CC(=O)Nc2ccc3c(c2)CCC3)N,EDB=53024,Not Available,-11.971006
Cc1ccc2c(c1)c3c([nH]2)CC[C@@H](C3)NC(=O)Nc4ccn(n4)c5ccc(cc5F)C#N,T2K-446261,Not Available,-11.968796
c1ccc(cc1)CC[C@H](O)[C@H]2CCC(CC2)CNc3ncnc4c3cn[nH]4,SIM-61912-SUR,Not Available,-11.967590
c1ccc2c(c1)c(cc(=O)[nH]2)CSc3c4c([nH]cn4)ncn3,T2K-202591,Not Available,-11.966720
CCCCc1nnc(s1)NC(=O)CCCc2[nH]c(=O)c3ccccc3n2,SIM-296517-PCH,Not Available,-11.948936
c1ccc(cc1)CCC[C@@H](C2CCC(CC2)CNc3c4cn[nH]c4ncn3)O,SIM-61924-SUR,Not Available,-11.936168
COc1ccccc1[C@@H]2CCCN2C(=O)NCc3[nH]c(nn3)[C@H]4CCCO4,EDB=267076,Not Available,-11.933960
c1ccc(c(c1)COc2ccc(cc2)CC#N)NC(=O)[C@H]3CCCc4c3cn[nH]4,SIM-393700-E15,Not Available,-11.928726
CCCCCCCCCCCCNc1c2cn[nH]c2ncn1,SIM-44717-PCH,Not Available,-11.924859
c1cnc2c(c1Cl)nc([nH]2)[C@@H]3CCCN(C3)c4c5c([nH]cn5)ncn4,SIM-477683-SAV,Not Available,-11.914719
c1ccc(cc1)CCOC2CCC(CC2)CNc3c4cn[nH]c4ncn3,SIM-61919-SUR,Not Available,-11.907276
Cc1cccnc1NC(=O)[C@@H]2CCC[N@](C2)c3c4cn[nH]c4ncn3,EDB=113161,Not Available,-11.896053
Cc1c(sc2c1c(ncn2)SCCCCN3C(=O)c4ccccc4C3=O)C,EDB=249337,Not Available,-11.890505
Cc1cccc(n1)NC(=O)[C@H]2CCC[N@](C2)c3c4cc[nH]c4ncn3,SIM-263777-EMO,Not Available,-11.873854
Cc1ccc(cc1Cl)NC(=O)Nc2cccc(c2)c3cccc4c3c(n[nH]4)N,SIM-194395-BDB,Not Available,-11.865334
CCCCc1ccc(c(c1)n2nc3ccc(cc3n2)C(=O)[O-])O,T2K-415982,Not Available,-11.860050
c1c[nH]c2c1c(ncn2)C(=O)N3C[C@@H]4CCC[C@@]4(C3)CO,EDB=306918,Not Available,-11.847660
C[C@H]1[C@H](CCC(=O)N1)NC(=O)c2c3cc[nH]c3ncn2,SIM-351092-PCH,Not Available,-11.847559
c1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCC3,T2K-62806,Not Available,-11.839958
c1cc2c(cc1Cl)ncnc2[N@@]3CCC[C@H](C3)C(=O)Nc4ccc(cn4)Cl,SIM-263796-PCH,Not Available,-11.835960
COC(=O)c1cc2c([nH]c(n2)c3c(cc[nH]3)C4CC4)nc1,SIM-376150-SAV,Not Available,-11.833180
c1ccc(cc1)n2c(nnn2)CSc3ccccc3C(=O)NCCc4ccc(cc4)Cl,EDB=13299,Not Available,-11.829422
c1cc2c(cc1F)-c3cc(n(n3)C(=O)[C@@H]4CCc5nncn5C4)O2,T2K-360284,Not Available,-11.829167
c1cc(cc(c1)NCC#Cc2cc(ccc2F)c3c(nc([nH]3)O)O)C(=O)[O-],T2K-390330,Not Available,-11.824633
Cc1ccc(o1)[C@@H](CNC(=O)c2c3c(n[nH]2)CCCC3)NC(=O)c4c5c(n[nH]4)CCCC5,SIM-431427-E15,Not Available,-11.814583
c1cc2c(cc1Cl)nc([nH]2)[C@@H]3CCCN(C3)c4c5c([nH]cn5)ncn4,SIM-272460-SAV,Not Available,-11.811650
c1ccc2c(c1)C[C@H](O2)C(=O)NC[C@@H](c3ccccc3Cl)c4c[nH]c5c4cccc5,EDB=43756,Not Available,-11.806962
c1ccc(cc1)n2c3c(c(n2)C(=O)Nc4cccc(c4)n5cnnn5)CCC3,EDB=124536,Not Available,-11.805408
c1cc(ncc1Br)NC(=O)[C@@H]2CCC[N@](C2)c3c4cc[nH]c4ncn3,SIM-263675-ZIN,Not Available,-11.803145
