SMILES,TITLE,receptor,Chemgauss4
c1ccc(cc1)c2cc([nH]n2)C(=O)NCc3[nH]c4ccccc4n3,T2K-204554,Not Available,-15.545282
c1ccc(c(c1)c2c3c([nH]n2)C(=O)N([C@@H]3c4cccc(c4)Cl)CCCO)O,EDB=130317,Not Available,-15.533880
c1ccc(cc1)c2csc3c2c(ncn3)SCc4[nH]c5c(n4)c(ncn5)N,SIM-259875-SAV,Not Available,-15.529194
CCC(CC)NC(=O)c1cc2c(n[nH]c2nc1)c3[nH]c4ccccc4n3,SIM-340216-SUR,Not Available,-15.512081
c1cc(c(c(c1)Cl)Cl)Nc2cc(=O)[nH]nn2,SIM-500581-G17,Not Available,-15.477740
CC(C)c1nc([nH]n1)c2ccccc2NC(=O)c3ccc(nc3)NC,SIM-137569-ENA,Not Available,-15.477287
Cc1c2c([nH]c1C(=O)NCc3[nH]nc(n3)c4ccccc4)CCCC2=O,T2K-469703,Not Available,-15.477203
c1ccc2cc(ccc2c1)NC(=O)[C@@H]3Cc4ccc(cc4[C@@H]([NH2+]3)c5c([nH]cn5)[N+](=O)[O-])O,T2K-350271,Not Available,-15.476641
c1csc2c1[C@]3(CCC[C@@H](C3)c4cnc(nc4O)O)N(CC2)C(=S)N,T2K-356277,Not Available,-15.476576
Cc1ccc2c(c1)cc([nH]2)C(=O)NCc3[nH]nc(n3)c4ccc(cc4)Br,T2K-476253,Not Available,-15.476121
c1ccnc(c1)CCC(=O)N2CCC[C@@H](C2)c3cc([nH]n3)C(=O)N,SIM-476781-MOS,Not Available,-15.463238
c1ccc(cc1)c2csc3c2c(ncn3)SCc4[nH]c5c(n4)c(ncn5)O,SIM-259888-SAV,Not Available,-15.460806
CC[C@H](CNC(=O)c1cc(n[nH]1)Br)NC(=O)c2cc(n[nH]2)Br,T2K-478119,Not Available,-15.458473
CC(=O)c1ccc(cc1)NC(=O)N2CCC[C@@H](C2)c3cc([nH]n3)C(=O)N,SIM-275928-EMO,Not Available,-15.448405
c1ccc(c(c1)c2c3c([nH]n2)C(=O)N([C@@H]3c4cccc(c4)O)Cc5ccco5)O,EDB=71541,Not Available,-15.436434
c1ccnc(c1)c2nc([nH]n2)CNC(=O)c3cc(c[nH]3)Br,T2K-456533,Not Available,-15.433964
C[C@@H](Cn1ccnc1)[C@H](c2ncc(=O)[nH]n2)[NH3+],SIM-24217-G17,Not Available,-15.431854
c1ccc(cc1)c2nc([nH]n2)CNC(=O)c3cc(n[nH]3)C4CC[NH2+]CC4,SIM-14266-E15,Not Available,-15.430422
