lig25	-16.25	2.20	-15.82
lig60	-15.74	2.06	-15.45
lig43	-14.56	2.02	-15.58
lig3	-10.47	4.26	-16.79
lig56	-9.36	5.96	-15.48
lig68	-9.35	3.93	-15.39
lig5	-9.31	4.08	-16.75
lig53	-9.31	4.24	-15.48
lig87	-9.21	2.92	-15.29
lig85	-9.00	2.86	-15.31
lig69	-8.61	4.82	-15.39
lig70	-8.55	2.80	-15.38
lig14	-8.39	4.47	-16.20
lig79	-8.33	1.59	-15.34
lig71	-8.07	4.65	-15.38
lig67	-8.07	3.05	-15.40
lig24	-8.04	2.77	-15.82
lig64	-8.03	4.37	-15.43
lig74	-7.88	2.42	-15.36
lig9	-7.80	3.54	-16.35
lig31	-7.63	2.77	-15.71
lig91	-7.57	2.40	-15.29
lig94	-7.34	2.19	-15.27
lig35	-7.22	9.46	-15.65
lig12	-7.20	3.70	-16.25
lig39	-7.09	5.38	-15.62
lig10	-7.04	4.45	-16.32
lig29	-6.95	3.45	-15.74
lig47	-6.89	5.86	-15.55
lig57	-6.86	3.00	-15.46
lig16	-6.83	3.05	-16.09
lig59	-6.73	4.88	-15.46
lig73	-6.61	2.03	-15.37
lig23	-6.59	5.65	-15.84
lig28	-6.33	5.00	-15.75
lig42	-6.17	4.13	-15.60
lig61	-6.04	3.01	-15.44
lig1	-5.85	6.17	-16.93
lig21	-5.82	3.89	-15.89
lig37	-5.71	3.57	-15.63
lig19	-5.71	4.14	-15.96
lig89	-5.34	2.94	-15.29
lig40	-5.24	2.70	-15.61
lig27	-5.22	3.83	-15.79
lig78	-5.08	6.55	-15.34
lig26	-5.06	6.08	-15.81
lig65	-5.03	3.62	-15.42
lig45	-4.92	3.89	-15.56
lig49	-4.65	4.70	-15.53
lig62	-4.56	3.86	-15.43
lig18	-4.56	4.06	-16.00
lig48	-4.56	2.53	-15.53
lig4	-4.27	4.15	-16.75
lig72	-3.73	3.07	-15.37
lig58	-3.65	3.80	-15.46
lig51	-3.51	2.67	-15.48
lig81	-3.23	3.27	-15.33
lig6	-3.14	5.13	-16.65
lig2	-3.07	3.37	-16.79
lig76	-2.98	2.18	-15.35
lig50	-2.75	3.41	-15.51
lig17	-2.69	6.95	-16.07
lig11	-2.68	5.30	-16.25
lig80	-2.38	4.36	-15.34
lig46	-2.38	5.78	-15.56
lig38	-2.35	6.01	-15.63
lig99	-2.15	5.06	-15.25
lig8	-1.98	4.20	-16.51
lig97	-1.82	4.30	-15.26
lig32	-1.76	4.72	-15.71
lig77	-1.73	5.13	-15.35
lig52	-1.42	4.47	-15.48
lig30	-1.41	3.87	-15.72
lig7	-1.37	4.13	-16.53
lig88	-1.16	2.98	-15.29
lig66	-0.92	4.95	-15.42
lig54	-0.74	5.27	-15.48
lig41	-0.43	3.43	-15.60
lig33	-0.42	4.25	-15.68
lig92	-0.30	4.42	-15.28
lig13	-0.17	2.63	-16.23
lig15	0.39	3.00	-16.11
lig20	0.46	2.86	-15.90
lig36	0.48	3.07	-15.64
lig95	0.63	4.83	-15.27
lig75	0.83	3.74	-15.35
lig86	1.03	4.49	-15.30
lig44	1.24	4.54	-15.56
lig84	1.42	2.71	-15.32
lig98	1.44	7.40	-15.25
lig82	1.60	5.14	-15.33
lig63	1.81	5.84	-15.43
lig93	2.02	4.15	-15.28
lig55	2.39	4.68	-15.48
lig90	2.68	3.17	-15.29
lig96	2.97	5.40	-15.27
lig83	5.24	4.99	-15.32
